Document samples/pg2701.txt
hah 1 0.477121
tending 3 1.43136
boatheader 1 0.477121
rang 1 0
uninjurable 1 0.477121
chaos 4 0.704365
lumber 3 1.43136
apology 1 0.477121
barbary 2 0.954243
perisheth 1 0.477121
ebony 4 1.90849
days 86 0
contract 3 0
uniform 4 0
coarse 1 0.477121
presumable 1 0.477121
branch 4 0.704365
perchance 4 1.90849
flags 1 0.477121
wonderments 1 0.477121
reception 1 0.477121
swerve 6 2.86273
woody 1 0.477121
howl 4 0.704365
cogged 1 0.477121
gladness 3 1.43136
were 683 120.27
grub 2 0.954243
denied 4 0.704365
referring 2 0.352183
to 4709 0
undulating 3 1.43136
effected 3 1.43136
run 54 9.50893
pay 19 0
mutiny 4 1.90849
majesty 6 2.86273
subs 1 0.176091
stanzas 1 0.477121
adroop 2 0.954243
arpens 1 0.477121
tribulations 2 0.954243
leave 18 3.16964
express 9 0
moored 9 4.29409
communities 1 0.477121
pitched 10 4.77121
gazed 10 1.76091
thou 271 47.7207
perch 10 4.77121
forked 6 2.86273
ambitious 3 1.43136
entertaining 2 0.954243
wh 1 0.477121
hast 29 0
proceeded 6 1.05655
curiously 6 2.86273
dagon 1 0.477121
uncouth 1 0.477121
mildness 5 2.38561
rabelais 2 0.954243
capes 1 0.477121
footstep 1 0.176091
talk 26 4.57837
former 20 3.52183
caddy 1 0.477121
endures 1 0.477121
stubb 261 124.529
kissed 1 0.176091
patient 6 1.05655
entirely 29 5.10665
spose 2 0.954243
withstand 9 4.29409
own 205 36.0987
formerly 1 0.176091
propelled 1 0.477121
ebooks 7 0
ideas 6 2.86273
reference 14 2.46528
prevail 3 0.528274
many 168 0
bench 17 2.99355
structure 7 3.33985
original 23 0
sneaks 1 0.477121
the 14727 0
understanding 4 0.704365
lucian 1 0.477121
covering 6 2.86273
judge 9 1.58482
insurances 1 0.477121
tent 5 2.38561
begone 4 0.704365
god 153 26.942
altitudes 2 0.954243
shabbily 1 0.477121
betake 2 0.352183
archangelical 1 0.477121
unprecedentedly 1 0.477121
best 66 0
shrinked 1 0.477121
continually 17 2.99355
channels 2 0.954243
crabs 3 1.43136
pannangians 1 0.477121
dutch 26 12.4052
risk 5 0.880456
preposterous 2 0.954243
ripped 1 0.477121
whereas 18 8.58818
wondered 2 0.954243
subservient 1 0.477121
banks 7 3.33985
fate 16 2.81746
waiting 3 0.528274
application 6 2.86273
precedes 1 0.477121
liver 4 1.90849
misfortunes 1 0.477121
day 179 31.5203
bluff 4 1.90849
gums 2 0.954243
incommodiously 1 0.477121
maziness 1 0.477121
surgeon 9 4.29409
rapidly 19 9.0653
seas 87 15.3199
animals 5 2.38561
bunched 1 0.477121
coffin 53 25.2874
girlish 1 0.477121
predictions 2 0.954243
tragedies 2 0.954243
cures 2 0.954243
travel 6 1.05655
tendinous 4 1.90849
noble 44 7.74802
rolled 43 20.5162
receiving 14 0
charles 1 0.477121
pint 3 1.43136
chiselled 3 1.43136
bacon 1 0.477121
caves 1 0.477121
everyway 1 0.176091
people 49 0
spain 5 2.38561
soon 130 22.8919
luggers 1 0.477121
chowders 3 1.43136
abominate 1 0.477121
comb 2 0.954243
beard 5 2.38561
azure 6 2.86273
fly 14 2.46528
visitations 1 0.477121
curse 6 2.86273
among 167 29.4072
darker 6 2.86273
hungry 2 0.954243
courting 1 0.477121
backs 13 6.20258
jewelled 3 1.43136
fools 3 1.43136
jav 1 0.477121
whaleboats 4 1.90849
sultry 3 1.43136
peddling 4 1.90849
bruise 1 0.477121
disdained 2 0.352183
secure 13 0
leach 1 0.477121
krusensterns 1 0.477121
alone 42 0
indistinctly 1 0.477121
considerably 9 4.29409
gathering 3 1.43136
aid 1 0.176091
disgusted 1 0.477121
work 110 0
